trigger_id,term,match_type,category,role,strength,products,networks,asset_ids,static_source_ids,static_basis,first_party_authored_count,referenced_context_count,exact_article_link_basis,review_status,notes
capability.address-monitoring,address monitoring,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.watching-service;ethplorer.bulk-api-monitor,ethplorer.article.watching-eth-addresses-service;ethplorer.article.bulk-api-monitor,yes,0,0,,reviewed,"Covers user alerts and developer monitoring only within documented scope."
capability.wallet-alerts,wallet alerts,phrase,capability,positive_trigger,normal,ethplorer,ethereum,ethplorer.watching-service,ethplorer.article.watching-eth-addresses-service,yes,0,0,,candidate,"Natural user wording for the reviewed Watching Service capability."
capability.watch-list,watch list,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.watching-service,ethplorer.article.watching-eth-addresses-service,yes,2,0,ethplorer.article.watching-eth-addresses-service,reviewed,"Exact feature wording and exact linked-article provenance."
capability.watching-service,Watching Service,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.watching-service,ethplorer.article.watching-eth-addresses-service,yes,4,0,ethplorer.article.watching-eth-addresses-service,reviewed,"Exact documented feature name."
capability.transaction-history,transaction history,phrase,capability,positive_trigger,normal,ethplorer,ethereum,ethplorer.transaction-export;ethplorer.address-portfolio,ethplorer.article.keep-your-deals-clean;ethplorer.article.what-are-erc-20-tokens,yes,4,0,,reviewed,"Routes history inspection and export needs."
capability.tags-notes,tags and notes,phrase,capability,context_only,weak,ethplorer,ethereum,ethplorer.tags-notes,ethplorer.article.keep-your-deals-clean;ethplorer.article.ethereum-tokens-extended-search,yes,2,0,,reviewed,"Broad annotation wording; context only unless a specific address or transaction need is present."
capability.private-tags,private tags,phrase,capability,context_only,weak,ethplorer,ethereum,ethplorer.tags-notes,ethplorer.article.ethereum-tokens-extended-search,yes,1,0,,reviewed,"Broad private-label wording; context only without address or explorer evidence."
capability.address-tags,address tags,phrase,capability,positive_trigger,normal,ethplorer,ethereum,ethplorer.tags-notes,ethplorer.article.keep-your-deals-clean;ethplorer.article.watching-eth-addresses-service,yes,1,0,,reviewed,"Specific documented Ethplorer annotation phrase with address scope."
capability.token-search,token search,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.token-address-search,ethplorer.article.ethereum-tokens-extended-search,yes,0,0,,reviewed,"Direct token discovery capability phrase."
capability.address-search,address search,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.token-address-search,ethplorer.article.ethereum-tokens-extended-search,yes,0,0,,reviewed,"Direct address discovery capability phrase."
capability.rich-list,rich list,phrase,capability,positive_trigger,normal,ethplorer,ethereum,ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,yes,3,1,,reviewed,"Broad ranking phrase; downstream context must distinguish ETH-only and aggregated views."
capability.aggregated-rich-list,aggregated rich list,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1;ethplorer.article.ethereum-rich-list-aggregated-usd-part-2,yes,0,0,,reviewed,"Specific documented analytical product name."
capability.total-usd-holdings,total USD holdings,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,yes,1,1,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,reviewed,"Methodology phrase with exact linked-article provenance."
capability.token-holders,token holders,phrase,capability,positive_trigger,normal,ethplorer,ethereum,ethplorer.token-holder-analytics,ethplorer.article.crypto-market-trends-analyze-tool;ethplorer.article.the-2024-year-crypto-race,yes,1,0,,reviewed,"Holder-analysis routing phrase; not proof of identity or legitimacy."
capability.holder-distribution,holder distribution,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.token-holder-analytics,ethplorer.article.crypto-market-trends-analyze-tool;ethplorer.article.the-2024-year-crypto-race,yes,0,0,,reviewed,"Specific concentration and distribution use case."
capability.candlestick-chart,candlestick chart,phrase,capability,context_only,weak,ethplorer,ethereum,ethplorer.market-charts,ethplorer.article.dyor-like-a-pro-with-ethplorer-charts;ethplorer.article.crypto-market-trends-analyze-tool,yes,0,0,,reviewed,"Documented price-chart format but too trading-oriented to route a Post by itself."
capability.moving-average,moving average,phrase,exclusion_context,negative_context,normal,ethplorer,ethereum,ethplorer.market-charts,ethplorer.article.dyor-like-a-pro-with-ethplorer-charts;ethplorer.article.crypto-market-trends-analyze-tool,yes,0,0,,reviewed,"Historical product evidence remains valid, but the phrase is trader-oriented routing evidence rather than a positive reason."
capability.trade-volume,trade volume,phrase,capability,context_only,weak,ethplorer,ethereum,ethplorer.market-charts;ethplorer.token-holder-analytics,ethplorer.article.dyor-like-a-pro-with-ethplorer-charts;ethplorer.article.crypto-market-trends-analyze-tool,yes,2,0,,reviewed,"Market-activity context only; it cannot create relevance by itself."
capability.transfer-activity,transfer activity,phrase,capability,positive_trigger,normal,ethplorer,ethereum,ethplorer.token-holder-analytics,ethplorer.article.crypto-market-trends-analyze-tool;ethplorer.article.the-2024-year-crypto-race,yes,0,0,,reviewed,"Useful token-use signal but not proof of organic activity."
capability.market-cap,market cap,phrase,capability,context_only,weak,ethplorer,ethereum,ethplorer.market-charts;ethplorer.token-holder-analytics,ethplorer.article.crypto-market-trends-analyze-tool;ethplorer.article.the-2024-year-crypto-race,yes,11,4,ethplorer.article.the-2024-year-crypto-race,reviewed,"Broad market metric; even Ethereum plus market cap is insufficient without a meaningful positive trigger."
capability.api-panel,API Panel,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.api-panel,ethplorer.article.shiny-new-api-panel,yes,0,0,,reviewed,"Exact documented developer feature name; current operation requires verification."
capability.bulk-api-monitor,Bulk API Monitor,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.bulk-api-monitor,ethplorer.article.bulk-api-monitor;ethplorer.article.shiny-new-api-panel,yes,1,1,,reviewed,"Exact documented developer product name."
capability.contract-monitoring,contract monitoring,phrase,capability,positive_trigger,strong,ethplorer,ethereum,ethplorer.bulk-api-monitor;ethplorer.watching-service,ethplorer.article.bulk-api-monitor;ethplorer.article.watching-eth-addresses-service,yes,0,0,,reviewed,"Token-contract monitoring use case under the documented services."
user-problem.check-wallet-balance,check wallet balance,phrase,user_problem,positive_trigger,normal,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.what-are-erc-20-tokens,yes,0,0,,candidate,"Natural user-problem wording mapped to reviewed portfolio evidence."
user-problem.who-holds,who holds,phrase,user_problem,positive_trigger,normal,ethplorer,ethereum,ethplorer.token-holder-analytics,ethplorer.article.crypto-market-trends-analyze-tool,yes,0,0,,candidate,"Audience-style holder question; requires an asset or address context."
user-problem.missing-transaction,missing transaction,phrase,user_problem,positive_trigger,normal,ethplorer,ethereum,ethplorer.transaction-export,ethplorer.article.lost-in-transactions,yes,0,0,,candidate,"User-story problem language; not evidence that Ethplorer guarantees accounting completeness."
user-problem.token-balances,token balances,phrase,user_problem,positive_trigger,normal,ethplorer,ethereum,ethplorer.address-portfolio;ethplorer.aggregated-rich-list,ethplorer.article.what-are-erc-20-tokens;ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,yes,1,6,,candidate,"Audience-used phrase grounded in reviewed portfolio and ranking sources."
user-intent.track-address,track an address,phrase,user_intent,positive_trigger,normal,ethplorer,ethereum,ethplorer.watching-service;ethplorer.bulk-api-monitor,ethplorer.article.watching-eth-addresses-service;ethplorer.article.bulk-api-monitor,yes,0,0,,candidate,"Intent phrase that needs user-versus-developer context downstream."
user-intent.find-token,find a token,phrase,user_intent,positive_trigger,normal,ethplorer,ethereum,ethplorer.token-address-search,ethplorer.article.ethereum-tokens-extended-search,yes,0,0,,candidate,"Natural search intent linked to reviewed search evidence."
user-intent.export-transactions,export transactions,phrase,user_intent,positive_trigger,strong,ethplorer,ethereum,ethplorer.transaction-export,ethplorer.article.keep-your-deals-clean,yes,0,0,,candidate,"Natural export intent mapped to reviewed capability evidence."
user-intent.track-fund-flows,track fund flows,phrase,user_intent,positive_trigger,normal,ethplorer,ethereum,ethplorer.token-holder-analytics;ethplorer.bulk-api-monitor,ethplorer.article.crypto-market-trends-analyze-tool;ethplorer.article.bulk-api-monitor,yes,0,0,,candidate,"Research intent; does not imply predictive accuracy."
analytics.eth-only-ranking,ETH-only ranking,phrase,analytics_concept,context_only,normal,ethplorer,ethereum,ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1;ethplorer.article.ethereum-rich-list-aggregated-usd-part-2,yes,0,0,,reviewed,"Comparison lens rather than a standalone product claim."
analytics.balance-composition,balance composition,phrase,analytics_concept,positive_trigger,strong,ethplorer,ethereum,ethplorer.balance-composition-analysis;ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-2;ethplorer.article.ethereum-capital-outside-eth-and-defi-self-issued,yes,0,0,,reviewed,"Stable methodology concept; article values remain historical."
analytics.ppi,PPI,token,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.balance-composition-analysis,ethplorer.article.ethereum-rich-list-aggregated-usd-part-2;ethplorer.article.beincrypto-interview-questions-and-answers-altseason,yes,3,2,,reviewed,"Ambiguous acronym unless supported by own-token or Printing-Press context."
analytics.printing-press-index,Printing-Press Index,phrase,analytics_concept,positive_trigger,strong,ethplorer,ethereum,ethplorer.balance-composition-analysis,ethplorer.article.ethereum-rich-list-aggregated-usd-part-2;ethplorer.article.beincrypto-interview-questions-and-answers-altseason,yes,1,2,,reviewed,"Full stable concept name; no historical threshold is embedded."
analytics.own-token-exposure,own-token exposure,phrase,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.balance-composition-analysis,ethplorer.article.ethereum-rich-list-aggregated-usd-part-2;ethplorer.article.ethereum-capital-outside-eth-and-defi-self-issued,yes,0,0,,reviewed,"Describes composition without turning it into a current risk score."
analytics.self-issued-tokens,self-issued tokens,phrase,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.balance-composition-analysis,ethplorer.article.ethereum-rich-list-aggregated-usd-part-2;ethplorer.article.ethereum-capital-outside-eth-and-defi-self-issued,yes,1,1,,reviewed,"Stable methodology wording from static and first-party contexts."
analytics.stablecoin-exposure,stablecoin exposure,phrase,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.balance-composition-analysis;ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1;ethplorer.article.ethereum-capital-outside-eth-and-defi-self-issued,yes,0,0,,reviewed,"Composition question only; no historical percentage is promoted."
analytics.capital-concentration,capital concentration,phrase,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.balance-composition-analysis,ethplorer.article.ethereum-capital-outside-eth-and-defi-self-issued;ethplorer.article.ethereum-rich-list-aggregated-usd-part-2,yes,0,0,,reviewed,"Analytical question with current measurement deferred to Task 005E."
analytics.liquidity-filter,liquidity filter,phrase,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.aggregated-rich-list;ethplorer.balance-composition-analysis,ethplorer.article.ethereum-rich-list-aggregated-usd-part-2;ethplorer.article.beincrypto-interview-questions-and-answers-altseason,yes,0,0,,reviewed,"Methodology term; exact current filter implementation is not claimed."
analytics.address-attribution,address attribution,phrase,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.balance-composition-analysis,ethplorer.article.ethereum-capital-outside-eth-and-defi-self-issued,yes,0,0,,reviewed,"Analysis dependency rather than proof of complete entity labels."
analytics.capital-flows,capital flows,phrase,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.balance-composition-analysis,ethplorer.article.ethereum-rich-list-aggregated-usd-part-2,yes,1,0,,reviewed,"Stable question framing; current conclusions require dynamic evidence."
analytics.holder-concentration,holder concentration,phrase,analytics_concept,positive_trigger,normal,ethplorer,ethereum,ethplorer.token-holder-analytics;ethplorer.balance-composition-analysis,ethplorer.article.crypto-market-trends-analyze-tool;ethplorer.article.the-2024-year-crypto-race,yes,0,0,,reviewed,"Holder-distribution concept with no numerical threshold embedded."
project.stablecoin,stablecoin,token,project_entity,context_only,weak,ethplorer,ethereum,ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,yes,3,5,,reviewed,"Broad entity class; useful with portfolio or composition evidence but weak alone."
project.usdt,USDT,entity,project_entity,context_only,weak,ethplorer,ethereum,ethplorer.address-portfolio;ethplorer.aggregated-rich-list,ethplorer.article.what-are-erc-20-tokens;ethplorer.article.the-2024-year-crypto-race,yes,4,4,ethplorer.article.the-2024-year-crypto-race,reviewed,"Token entity retained for holdings context; not a capability claim."
project.usdc,USDC,entity,project_entity,context_only,weak,ethplorer,ethereum,ethplorer.address-portfolio,ethplorer.article.lost-in-transactions;ethplorer.article.what-are-erc-20-tokens,yes,5,2,,candidate,"First-party and user-story entity context; weak without a supported user need."
project.whale,whale,token,project_entity,context_only,weak,ethplorer,ethereum,ethplorer.token-holder-analytics;ethplorer.aggregated-rich-list,ethplorer.article.crypto-market-trends-analyze-tool;ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,yes,1,1,,candidate,"Informal holder language; too broad to pass alone."
context.active-staking,active staking,phrase,contextual,context_only,normal,ethplorer,ethereum,ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1;ethplorer.article.beincrypto-interview-questions-and-answers-altseason,yes,4,7,,reviewed,"Useful methodology context; all article staking values remain historical."
context.beacon-deposit-contract,beacon deposit contract,phrase,contextual,context_only,strong,ethplorer,ethereum,ethplorer.aggregated-rich-list,ethplorer.article.ethereum-rich-list-aggregated-usd-part-1;ethplorer.article.beincrypto-interview-questions-and-answers-altseason,yes,6,5,,reviewed,"Specific exclusion and interpretation context for the aggregated ranking."
context.total-supply,total supply,phrase,contextual,context_only,weak,ethplorer,ethereum,,ethplorer.article.what-are-erc-20-tokens;ethplorer.article.ethereum-rich-list-aggregated-usd-part-1,yes,5,11,,candidate,"Audience-used metric phrase; weak without token or methodology context."
context.defi,DeFi,entity,contextual,context_only,weak,ethplorer,ethereum,,ethplorer.article.the-2024-year-crypto-race;ethplorer.article.what-are-erc-20-tokens,yes,2,2,ethplorer.article.the-2024-year-crypto-race,candidate,"Context only because generic DeFi liquidity analysis is a project non-goal."
bizdev.wallet-api,wallet API,phrase,bizdev_integration,positive_trigger,strong,ethplorer,ethereum,ethplorer.bulk-api-monitor;ethplorer.api-panel,ethplorer.article.bulk-api-monitor;ethplorer.article.shiny-new-api-panel,yes,0,0,,candidate,"Potential developer integration need grounded in wallet-oriented API use cases."
bizdev.wallet-integration,wallet integration,phrase,bizdev_integration,positive_trigger,strong,ethplorer,ethereum,ethplorer.bulk-api-monitor;ethplorer.api-panel,ethplorer.article.bulk-api-monitor,yes,0,0,,candidate,"Potential integration language; product fit still requires human review."
bizdev.address-monitoring-api,address monitoring API,phrase,bizdev_integration,positive_trigger,strong,ethplorer,ethereum,ethplorer.bulk-api-monitor,ethplorer.article.bulk-api-monitor,yes,0,0,,candidate,"Specific developer need mapped to reviewed Bulk API Monitor evidence."
exclusion.bitcoin,Bitcoin,entity,exclusion_context,negative_context,weak,,bitcoin,,,no,6,1,,candidate,"Unrelated alone but never overrides an explorer API or integration trigger."
exclusion.nft,NFT,token,exclusion_context,negative_context,weak,,ethereum,,,no,0,0,,candidate,"Broad unsupported topic alone; positive product or capability context takes precedence."
exclusion.memecoin,memecoin,token,exclusion_context,negative_context,weak,,,,,no,0,0,,candidate,"Generic market topic with high noise and no standalone product relevance."
exclusion.price-prediction,price prediction,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"The reviewed capabilities do not establish price prediction."
exclusion.solana,Solana,entity,exclusion_context,negative_context,weak,,solana,,,no,0,0,,candidate,"Unsupported-network context only; it is not a hard reject and cannot override an Ethereum capability need."
exclusion.technical-analysis,technical analysis,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Likely trader-oriented when meaningful project evidence is absent."
exclusion.trading-signal,trading signal,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trading-signal language is not project relevance by itself."
exclusion.buy-signal,buy signal,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Buy timing language is trader-oriented and not a supported capability."
exclusion.sell-signal,sell signal,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Sell timing language is trader-oriented and not a supported capability."
exclusion.rsi,RSI,token,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trading-indicator context only; positive project evidence retains precedence."
exclusion.macd,MACD,token,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trading-indicator context only; positive project evidence retains precedence."
exclusion.day-trading,day trading,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trader-oriented activity when no meaningful project trigger is present."
exclusion.swing-trading,swing trading,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trader-oriented activity when no meaningful project trigger is present."
exclusion.scalping,scalping,token,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trader-oriented activity when no meaningful project trigger is present."
exclusion.leverage,leverage,token,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trading-risk context only and never a hard reject."
exclusion.futures,futures,token,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Derivatives context only and never a hard reject."
exclusion.take-profit,take profit,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trade-exit instruction rather than project relevance."
exclusion.stop-loss,stop loss,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trade-exit instruction rather than project relevance."
exclusion.trading-course,trading course,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trader-education context when no meaningful project trigger is present."
exclusion.learn-trading,learn trading,phrase,exclusion_context,negative_context,normal,,,,,no,0,0,,candidate,"Trader-education context when no meaningful project trigger is present."
